Name|md5|Machine|SizeOfOptionalHeader|Characteristics|MajorLinkerVersion|MinorLinkerVersion|SizeOfCode|SizeOfInitializedData|SizeOfUninitializedData|AddressOfEntryPoint|BaseOfCode|BaseOfData|ImageBase|SectionAlignment|FileAlignment|MajorOperatingSystemVersion|MinorOperatingSystemVersion|MajorImageVersion|MinorImageVersion|MajorSubsystemVersion|MinorSubsystemVersion|SizeOfImage|SizeOfHeaders|CheckSum|Subsystem|DllCharacteristics|SizeOfStackReserve|SizeOfStackCommit|SizeOfHeapReserve|SizeOfHeapCommit|LoaderFlags|NumberOfRvaAndSizes|SectionsNb|SectionsMeanEntropy|SectionsMinEntropy|SectionsMaxEntropy|SectionsMeanRawsize|SectionsMinRawsize|SectionMaxRawsize|SectionsMeanVirtualsize|SectionsMinVirtualsize|SectionMaxVirtualsize|ImportsNbDLL|ImportsNb|ImportsNbOrdinal|ExportNb|ResourcesNb|ResourcesMeanEntropy|ResourcesMinEntropy|ResourcesMaxEntropy|ResourcesMeanSize|ResourcesMinSize|ResourcesMaxSize|LoadConfigurationSize|VersionInformationSize|legitimate
queue_using_linked_list.exe|05023a8126e8b58d34bbb90c3294d0d8|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|86840|3|0|2097152|4096|1048576|4096|0|16|13|2.6419598407|0.0|6.07862642563|2284.30769231|0|12288|1994.61538462|24|11896|5|61|0|0|0|0|0|0|0|0|0|0|0|1
morrisinorder.exe|21ea0ff300f8429e9a9d8e3fca136b3c|332|224|263|2|28|17408|30720|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|81920|1024|130830|3|0|2097152|4096|1048576|4096|0|16|13|2.57261065123|0.0|6.07815415156|3111.38461538|0|17408|2794.30769231|24|17008|5|66|0|0|0|0|0|0|0|0|0|0|0|1
depth_first_search_with_stack.exe|f115aa584ceb8bc596bac61d6f5a128f|332|224|263|2|28|26624|49152|512|4832|4096|32768|4194304|4096|512|4|0|1|0|4|0|102400|1024|156884|3|0|2097152|4096|1048576|4096|0|16|13|2.65821353709|0.0|6.02122088326|4529.23076923|0|26624|4249.69230769|24|26488|5|74|0|0|0|0|0|0|0|0|0|0|0|1
intersection_of_two_arrays.exe|1f3b144a46f73abfdf000e4061046ee3|332|224|263|2|28|23040|39936|512|4832|4096|28672|4194304|4096|512|4|0|1|0|4|0|90112|1024|124734|3|0|2097152|4096|1048576|4096|0|16|13|2.62815487162|0.0|6.07230214917|3820.30769231|0|23040|3531.23076923|24|22712|5|69|0|0|0|0|0|0|0|0|0|0|0|1
inorder_successor_of_bst.exe|82506619456f45081c433da3b7ddca5c|332|224|263|2|28|16384|29184|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|73390|3|0|2097152|4096|1048576|4096|0|16|13|2.59397281988|0.0|6.11814229341|2993.23076923|0|16384|2685.69230769|24|16128|5|67|0|0|0|0|0|0|0|0|0|0|0|1
double_factorial.exe|e1c2490ac1914cff364362e13407a8e4|332|224|263|2|28|12288|19968|512|4832|4096|16384|4194304|4096|512|4|0|1|0|4|0|69632|1024|74788|3|0|2097152|4096|1048576|4096|0|16|13|2.65119849083|0.0|6.10568411069|2284.30769231|0|12288|1998.61538462|24|11976|5|57|0|0|0|0|0|0|0|0|0|0|0|1
fibonacci_large.exe|437f9d0c04f32c4f039c8631d7e9cc36|332|224|263|2|28|19968|36864|512|4832|4096|24576|4194304|4096|512|4|0|1|0|4|0|86016|1024|106568|3|0|2097152|4096|1048576|4096|0|16|13|2.65623497354|0.0|6.15442812596|3584.0|0|19968|3293.07692308|24|19956|5|79|0|0|0|0|0|0|0|0|0|0|0|1
AnyDesk.exe|d25c3bd6c96b1d4b95f492a9daa4a6a1|332|224|290|10|0|10752|3779072|12284416|7401|4096|16384|4194304|4096|512|5|1|0|0|5|1|16093184|1024|3831369|2|33088|1048576|4096|1048576|4096|0|16|6|4.55713747876|0.0|7.99995788158|631466.666667|0|3757056|2678803.16667|762|12284416|0|0|0|0|11|3.644345126|2.29968283595|7.83900538204|1623.0|34|7054|0|0|1
tree.exe|272a39fe49fc63664be387ea15178e8d|332|224|263|2|28|14848|26624|512|4832|4096|20480|4194304|4096|512|4|0|1|0|4|0|77824|1024|73929|3|0|2097152|4096|1048576|4096|0|16|13|2.60719974026|0.0|6.09927119679|2796.30769231|0|14848|2471.53846154|24|14524|5|67|0|0|0|0|0|0|0|0|0|0|0|1
folder-lock-en.exe|e12c24f0aaf4d8432adff80a5b133602|332|224|258|9|0|9543680|593920|6844416|16387568|6848512|16392192|4194304|4096|512|5|0|0|0|5|0|16986112|4096|10186444|2|33088|1048576|4096|1048576|4096|0|16|3|4.14713612755|0.0|7.80758788527|3377834.66667|0|9540096|5660672.0|593920|9543680|12|17|0|0|134|6.62160606259|0.0|7.9392001607|118429.313433|20|6064432|72|0|1
